route_id,plain_name,category,route_layer,n,freeze_status,confidence_class,evidence_basis,human_reading,do_not_overclaim,next_action,source_files
science_communication_technology_round15_freeze,通信・信号・波・電気測定,SCIENCE,field_branch_candidate,5,NOT_FIXED_RETAIN_AS_CLUE_OR_SUBBRANCH,too_underfilled_for_route_claim,"90-subject round15 comparison; this branch has 30 exact-time cases | mother_clean=5, mother_partial=8",信号・通信枝: 3室/6室/8室/11室の反復、土星/火星/天王星/ノードが、波・電気・伝送・標準化を技術化する側に出るかを見る。,Too few mother-cohort clean cases.,Do not score as route. Recollect source-backed exact cases if priority.,science_unfinished_branch_route_seed_after_round15_v1.json|science_unfinished_branch_decision_after_round15_v1.csv
science_experimental_lab_biomed_round15_freeze,実験室・生物医学・化学反応,SCIENCE,field_branch_candidate,10,MOTHER_COHORT_UNDERFILLED_RETAIN_AUXILIARY_COLLECTION_ONLY,underfilled_candidate_not_fixed,"90-subject round15 comparison; this branch has 30 exact-time cases | mother_clean=10, mother_partial=0",実験室/生物医学枝: 1室/4室/12室/6室、月・水星・火星・土星・ノードが、身体/物質/微生物の隠れた反応を実験で可視化する側に出るかを見る。,Construction branch may be useful but mother clean count is under 20.,Do not freeze as proven; use targeted collections only as construction material; need mother expansion or independent holdout.,science_unfinished_branch_route_seed_after_round15_v1.json|science_unfinished_branch_decision_after_round15_v1.csv
science_theory_observation_cosmos_round15_freeze,理論/観測/宇宙・不可視物理現象,SCIENCE,field_branch_candidate,22,MOTHER_COHORT_SUPPORTED_HOLDOUT_CANDIDATE_NOT_CONFIRMED,candidate_requires_independent_holdout,"90-subject round15 comparison; this branch has 30 exact-time cases | mother_clean=22, mother_partial=0",理論/観測/宇宙枝: 太陽-水星、8室/12室/4室、火星・土星・海王星・ノードが、不可視現象を検出し法則化する側に出るかを見る。,"Mother science cohort supports this branch, but it is still not reproduced proof.",Independent holdout and leakage controls; do not claim proof.,science_unfinished_branch_route_seed_after_round15_v1.json|science_unfinished_branch_decision_after_round15_v1.csv
science_invention_engineering_after_round12_freeze,発明・工学・装置化,SCIENCE,route_family_candidate,12,MOTHER_COHORT_UNDERFILLED_RETAIN_AUXILIARY_COLLECTION_ONLY,underfilled_candidate_not_fixed,"30 listed; 27 core; core hit rate 0.778 | mother_clean=12, mother_partial=0",科学的理解を装置・機械・工学構造として現物化する経路。電気/化学装置、航空/移動、機械/計器、計算機ハードへ分岐する。,Construction branch may be useful but mother clean count is under 20.,Do not freeze as proven; use targeted collections only as construction material; need mother expansion or independent holdout.,science_invention_engineering_route_family_freeze_after_round12_v1.csv|science_invention_engineering_decision_after_round12_v1.csv
science_computing_information_round9_freeze_reviewed,計算・情報構造・コンピュータ/ネットワーク,SCIENCE,field_branch_candidate_with_capability_leakage,3,NOT_FIXED_RETAIN_AS_CLUE_OR_SUBBRANCH,too_underfilled_for_route_claim,"minimum pool reached; route must now be tested out-of-sample instead of kept expanding from same construction logic | mother_clean=3, mother_partial=0",情報そのもの、内部構造、符号、ソフトウェア、デバッグ、ネットワーク、半導体/装置が混ざる。単一の計算機科学routeではなく、情報処理能力と出力枝の重なりとして扱う。,Too few mother-cohort clean cases.,Do not score as route. Recollect source-backed exact cases if priority.,science_computing_route_freeze_after_round9_v1.csv|science_code_internal_branch_decision_after_round13_v1.csv
science_code_internal_interface_hardware_design_boundary_round13_status,Web/設計/ハードウェア境界,SCIENCE,capability_subbranch_candidate,2,UNDERFILLED_RETAINED_NOT_FROZEN_AS_ROUTE,needs_more_exact_time_cases,frozen partial/strong 1/2,見えない情報構造を実装・運用・象徴計算・境界設計へ出す枝。,code/internal全体を一枚岩にしない,exact-time追加収集後、枝ごとにholdout。,science_code_internal_branch_decision_after_round13_v1.csv
science_code_internal_named_theory_cs_round13_status,理論計算機科学・符号・ネットワーク基盤,SCIENCE,capability_subbranch_candidate,5,UNDERFILLED_RETAINED_NOT_FROZEN_AS_ROUTE,needs_more_exact_time_cases,frozen partial/strong 1/5,見えない情報構造を実装・運用・象徴計算・境界設計へ出す枝。,code/internal全体を一枚岩にしない,exact-time追加収集後、枝ごとにholdout。,science_code_internal_branch_decision_after_round13_v1.csv
science_code_internal_practical_programmer_systems_operation_round13_status,実務プログラミング・システム運用,SCIENCE,capability_subbranch_candidate,13,HOLDOUT_READY_SUBBRANCH,large_enough_for_next_holdout_probe,frozen partial/strong 8/13,実務プログラミング、システム運用、ミッション運用側が最も残っている。,code/internal全体を一枚岩にしない,枝内で特徴を凍結し、隣接対照と比較。,science_code_internal_branch_decision_after_round13_v1.csv
science_code_internal_symbolic_ephemeris_software_round13_status,暦・DB・占星術ソフト系の象徴計算,SCIENCE,capability_subbranch_candidate,5,UNDERFILLED_RETAINED_NOT_FROZEN_AS_ROUTE,needs_more_exact_time_cases,frozen partial/strong 0/1,見えない情報構造を実装・運用・象徴計算・境界設計へ出す枝。,code/internal全体を一枚岩にしない,exact-time追加収集後、枝ごとにholdout。,science_code_internal_branch_decision_after_round13_v1.csv
science_math_theory_abstraction_round11_underfilled_freeze,数式・構造・証明・抽象法則,SCIENCE,underfilled_promising_branch,4,NOT_FIXED_RETAIN_AS_CLUE_OR_SUBBRANCH,too_underfilled_for_route_claim,"formal_math_is_strengthened_but_should_split_pure_abstraction_vs_machine_bridge; still not final holdout route | mother_clean=4, mother_partial=0",純粋抽象、機械/計算橋渡し、物理哲学橋渡しに分かれる。今の母数ではSCIENCE固定routeに昇格しない。,Too few mother-cohort clean cases.,Do not score as route. Recollect source-backed exact cases if priority.,science_formal_math_decision_after_round11_v1.csv|science_formal_math_summary_after_round11_v1.csv
science_formal_math_formal_education_context_round11_status,formal_education_context,SCIENCE,formal_math_subbranch_status,1,CONTEXT_ONLY,context_only,partial_or_strong 1; hit_rate 1.0,形式・証明・機械計算・物理哲学の分岐状態を保持。,subbranch n too small,collect exact-time cases if this branch becomes priority,science_formal_math_decision_after_round11_v1.csv
science_formal_math_formal_machine_bridge_round11_status,formal_machine_bridge,SCIENCE,formal_math_subbranch_status,6,UNDERFILLED_RETAINED_NOT_FINAL,expand_or_freeze_underfilled,partial_or_strong 5; hit_rate 0.833,形式・証明・機械計算・物理哲学の分岐状態を保持。,subbranch n too small,collect exact-time cases if this branch becomes priority,science_formal_math_decision_after_round11_v1.csv
science_formal_math_formal_physics_philosophy_bridge_round11_status,formal_physics_philosophy_bridge,SCIENCE,formal_math_subbranch_status,2,UNDERFILLED_RETAINED_NOT_FINAL,expand_or_freeze_underfilled,partial_or_strong 0; hit_rate 0.0,形式・証明・機械計算・物理哲学の分岐状態を保持。,subbranch n too small,collect exact-time cases if this branch becomes priority,science_formal_math_decision_after_round11_v1.csv
science_formal_math_pure_formal_abstraction_round11_status,pure_formal_abstraction,SCIENCE,formal_math_subbranch_status,7,UNDERFILLED_RETAINED_NOT_FINAL,expand_or_freeze_underfilled,partial_or_strong 5; hit_rate 0.714,形式・証明・機械計算・物理哲学の分岐状態を保持。,subbranch n too small,collect exact-time cases if this branch becomes priority,science_formal_math_decision_after_round11_v1.csv
science_public_translation_underfilled_channel_marker,科学の公共翻訳・教育・メディア化,SCIENCE,output_channel_marker_underfilled,5,NOT_FIXED_RETAIN_AS_CLUE_OR_SUBBRANCH,too_underfilled_for_route_claim,"round9 branch inventory only | mother_clean=5, mother_partial=0",科学発見そのものではなく、科学知識を公衆へ渡す出力チャンネル。政治/芸術/メディアと漏れやすい。,Too few mother-cohort clean cases.,Do not score as route. Recollect source-backed exact cases if priority.,science_route_candidates_after_round9_v1.csv|science_combined_branch_summary_after_round9_v1.csv
science_human_social_underfilled_not_started,人間・社会・文化を観察する科学,SCIENCE,not_started_underfilled_branch,2,NOT_FIXED_RETAIN_AS_CLUE_OR_SUBBRANCH,too_underfilled_for_route_claim,"round9 branch inventory only | mother_clean=2, mother_partial=0",自然科学とは別枝。心理学、人類学、社会科学を混ぜるなら専用収集が必要。,Too few mother-cohort clean cases.,Do not score as route. Recollect source-backed exact cases if priority.,science_route_candidates_after_round9_v1.csv|science_combined_branch_summary_after_round9_v1.csv
